country,country_code,year,gdp_pc,gov_effect,pop,log_gdp_pc,log_pop,new_arms_tiv,second_hand_arms_tiv,recurrence
Afghanistan,AFG,2002,338.139973643387,-1.58768701553345,21378117.0,5.823459932962957,16.877878386717132,0.0,34.4,0
Afghanistan,AFG,2005,363.640141436773,-1.2288156747818,24404567.0,5.896164756200818,17.01028084488006,3.0,30.4,0
Afghanistan,AFG,2006,367.75831169358,-1.47365152835846,25424094.0,5.907425960704261,17.051207865045694,0.0,3.36,0
Afghanistan,AFG,2007,410.757728879097,-1.44011056423187,25909852.0,6.018003573244542,17.070133840441702,0.0,75.11000000000001,0
Afghanistan,AFG,2008,417.647282647498,-1.52779507637024,26482622.0,6.034637254889591,17.091999302258,615.55,77.36,0
Afghanistan,AFG,2009,488.830652491949,-1.50775218009949,27466101.0,6.192016115571962,17.12846311133932,29.0,159.04,0
Afghanistan,AFG,2010,542.871030476037,-1.47831559181213,28284089.0,6.296871778787796,17.15780997835667,72.5,5.8,0
Afghanistan,AFG,2011,525.42698276582,-1.47410047054291,29347708.0,6.264211232548303,17.194725009195857,720.1899999999999,164.69000000000003,0
Afghanistan,AFG,2012,568.929021458341,-1.37553513050079,30560034.0,6.343755683741355,17.23520363482742,223.53,0.0,0
Afghanistan,AFG,2013,580.603833333096,-1.40146291255951,31622704.0,6.364068653933694,17.26938590158588,174.7,47.599999999999994,0
Afghanistan,AFG,2014,575.146245808546,-1.36164617538452,32792523.0,6.354624348994881,17.30571109005108,299.9,0.0,0
Afghanistan,AFG,2015,565.569730408751,-1.39739489555359,33831764.0,6.337833595485375,17.33691068246577,32.65,41.620000000000005,0
Afghanistan,AFG,2016,563.872336723147,-1.29146802425385,34700612.0,6.334827872548525,17.362267881649167,328.49,0.0,0
Afghanistan,AFG,2017,562.769574140988,-1.38659679889679,35688935.0,6.3328702621956765,17.390351254729715,62.79,227.37,0
Afghanistan,AFG,2018,553.125151688293,-1.50175786018372,36743039.0,6.315584290000878,17.419459350715854,642.2,87.0,0
Afghanistan,AFG,2019,557.861533207459,-1.5191125869751,37856121.0,6.32411078321368,17.44930324207805,1.4,13.6,0
Afghanistan,AFG,2020,527.834554499306,-1.61153948307037,39068979.0,6.2687828908525365,17.480839334107248,30.4,0.0,0
Algeria,DZA,1996,3322.9553813945,-1.08876645565033,29033044.0,8.10860984105846,17.183945187548133,64.95,0.0,0
Algeria,DZA,1998,3410.88254399624,-0.883071959018707,30054133.0,8.13472634734797,17.218510746925688,2.8,187.92,0
Algeria,DZA,2000,3553.32420521282,-1.01074934005737,30903893.0,8.175638840158976,17.246392720987288,181.73,294.86,0
Algeria,DZA,2002,3754.66081539402,-0.614207327365875,31750835.0,8.23075323132847,17.273429582169754,397.7,0.0,0
Algeria,DZA,2004,4066.28204806069,-0.559222877025604,32628286.0,8.310484359234692,17.300690138841695,22.04,0.96,0
Algeria,DZA,2005,4223.60252134721,-0.446233421564102,33109249.0,8.348443720898564,17.315323227296997,95.7,18.82,0
Algeria,DZA,2006,4279.61547125531,-0.438161790370941,33623506.0,8.361618441375056,17.330735963672414,1210.0,0.0,0
Algeria,DZA,2007,4339.25055772185,-0.537276387214661,34189416.0,8.375456929630532,17.34742668045176,137.5,0.0,0
Algeria,DZA,2008,4367.56538019901,-0.603184521198273,34816961.0,8.38196101160401,17.365615211068654,2421.5,0.0,0
Algeria,DZA,2009,4336.10054056598,-0.534546136856079,35490445.0,8.374730730250562,17.384774063287377,10.5,0.0,0
Algeria,DZA,2010,4456.61027416201,-0.395901709794998,36188236.0,8.402143727831445,17.404244651605342,780.05,0.0,0
Algeria,DZA,2011,4501.35430135827,-0.520578742027283,36903376.0,8.412133586337674,17.423813595340658,1128.0,0.0,0
Algeria,DZA,2012,4518.4397895726,-0.447385340929031,37646166.0,8.415922033940094,17.443741674355557,1178.45,0.0,0
Algeria,DZA,2013,4543.23444004859,-0.431544005870819,38414171.0,8.421394469105143,17.463936985939082,140.6,0.0,0
Algeria,DZA,2014,4634.10149183949,-0.339864790439606,39205031.0,8.441197606314741,17.484315638362318,392.9500000000001,0.0,0
Algeria,DZA,2015,4685.05902729002,-0.410829484462738,40019529.0,8.452133793801268,17.504878117935164,2647.3,0.0,0
Algeria,DZA,2016,4768.73140080218,-0.464708805084229,40850721.0,8.469835594800193,17.525435029053327,2197.45,0.0,0
Algeria,DZA,2017,4742.90075536604,-0.537024140357971,41689299.0,8.464404201215492,17.54575503513178,623.3,0.0,0
Algeria,DZA,2018,4717.00358853556,-0.488536387681961,42505035.0,8.458929044050468,17.565133097465793,768.15,0.0,0
Algeria,DZA,2020,4363.68533766912,-0.573643207550049,44042091.0,8.381072240244517,17.60065634825567,770.0,0.0,0
Angola,AGO,1996,1867.93503101029,-0.859939992427826,14170973.0,7.532588838210873,16.466706275505636,0.0,80.6,0
Angola,AGO,1998,1961.03722525713,-1.05510711669922,15159370.0,7.581228808809205,16.534129380586762,75.8,43.28,1
Angola,AGO,2000,1932.98847886814,-1.07503414154053,16194869.0,7.566822518956808,16.60020502163852,97.8,104.4,0
Angola,AGO,2002,2139.87259662901,-1.13215708732605,17327699.0,7.668501571958152,16.66781687734258,0.0,104.4,1
Angola,AGO,2003,2128.19579323903,-1.12422430515289,17943712.0,7.663029854330097,16.702750305120254,3.85,0.0,0
Angola,AGO,2004,2277.86696532928,-1.32887244224548,18600423.0,7.730994742534139,16.73869488036032,0.0,17.240000000000002,0
Angola,AGO,2007,2983.0418728513,-1.20500719547272,20778561.0,8.000698821577242,16.84943229195936,6.25,5.8,1
